Condition,N,Mean,SD,Cohens_d,t_value,p_value,p_Bonferroni,q_FDR,Lilliefors_p
Full Gaze,47,1.16519326241135,3.43964295417626,0.332319463963172,2.32238132161589,0.0246917530260991,0.0740752590782972,0.0740752590782972,0.0911972673725543
Partial Gaze,47,0.998358156028368,3.82476376153662,0.256142299514898,1.78949579946711,0.0801196756528045,0.240359026958414,0.120179513479207,0.206623137268269
No Gaze,47,0.133269503546104,3.33742539284942,0.0367746995034837,0.27375883429081,0.785495484021072,1,0.785495484021072,0.5
